course code,course name,credits,upper level
AFRA 308,African American History in Delaware,3,True
AFRA 330,Rhetoric of Black America,3,True
AFRA 443,Seminar in Africa Under Colonial Rule,3,True
ANTH 343,Motherhood and Contested Reproduction,3,True
ANTH 354,Global Humanitarianism,3,True
ANTH 463,"Archaeology, Engagement, Heritage",3,True
APEC 324,Introduction to Resource Economics,3,True
APEC 444,Economics of Environmental Management,3,True
ARAB 105,Arabic I - Elementary,3-4,False
ARAB 106,Arabic II - Elementary/Intermediate,3-4,False
ARAB 107,Arabic III - Intermediate,3-4,True
ARAB 200,Advanced Intermediate Arabic,3,True
ARAB 201,Arabic Grammar and Composition,3,True
ARAB 205,Arabic Conversation,3,True
ARAB 208,Contemporary North Africa,3,False
ART 406,Artist’s Machine,3,True
ARTC 302,Care and Preservation of Cultural Property II,3,True
BUAD 471,Advertising and Media Management,3,True
CHIN 105,Chinese I - Elementary,3-4,False
CHIN 106,Chinese II - Elementary/Intermediate,3-4,False
CHIN 107,Chinese III - Intermediate,3-4,True
CHIN 200,Chinese Grammar and Composition,3,True
CHIN 201,Advanced Intermediate Chinese I,3,True
CHIN 205,Chinese Conversation,3,True
CHIN 206,Culture Through Conversation,3,True
CHIN 208,Contemporary Chinese Society,3,False
CHIN 451,Advanced Readings in Chinese Literature,3,True
CHIN 452,Advanced Readings in Chinese Culture,3,True
CHIN 455,Classical Chinese,3,True
CRJU 340,The Juvenile Justice System,3,True
CRJU 369,"Alcohol, Drugs and Crime",3,True
CRJU 375,Criminal Procedure,3,True
CRJU 457,Criminal Evidence,3,True
ECON 308,Banking and Monetary Policy,3,True
ECON 320,Energy Economics,3,True
ECON 340,International Economics,3,True
ECON 408,Economics of Law,3,True
ECON 418,Economic History of American Labor Markets,3,True
ECON 430,Topics in Macroeconomic Theory,3,True
ECON 433,Economics of the Public Sector,3,True
ECON 443,International Monetary Economics,3,True
ECON 483,Economics of Labor Markets,3,True
ECON 490,Economics of Health Policy,3,True
EDUC 411,Introduction to Educational Technology,3,True
ELEG 491,Ethics/Impacts of Engineering,3,True
ENGL 294,Diverse English Languages: Grammar and Usage,3,False
ENGL 301,Advanced Writing,3,True
ENGL 312,Written Communications in Business,3,True
ENGL 322,Chaucer,3,True
ENGL 325,Renaissance Literature,3,True
ENGL 328,Milton: Sin and Temptation,3,True
ENGL 331,The Age of Satire,3,True
ENGL 332,Studies in Restoration and Eighteenth Century Literature,3,True
ENGL 347,Studies in American Literature,3,True
ENGL 351,Studies in Irish Literature,3,True
ENGL 352,Studies in Nineteenth Century Literature,3,True
ENGL 353,Twentieth Century British Literature,3,True
ENGL 356,Studies in Modern/Contemporary Literature,3,True
ENGL 368,Studies in Literature and Science,3,True
ENGL 371,Studies in Fiction,3,True
ENGL 373,Studies in Poetry,3,True
ENGL 410,Technical Writing,3,True
ENGL 413,Topics in Professional Writing,3,True
ENGL 472,Studies in the Drama,3,True
ENGL 494,History of the English Language,3,True
FASH 122,Apparel Product Assembly,3,False
FASH 419,Social Psychology of Fashion,3,True
FASH 425,Wearable Product Design,3,True
FREN 105,French I - Elementary,3-4,False
FREN 106,French II - Elementary/Intermediate,3-4,False
FREN 107,French III - Intermediate,3-4,True
FREN 200,Grammar and Composition,3,True
FREN 205,French Conversation,3,True
FREN 206,Culture Through Conversation,3,True
FREN 208,Contemporary France I,3,False
FREN 209,French Conversation Through Film,3,True
FREN 250,Introduction to Business French,3,True
FREN 301,Self and Society,3,True
FREN 302,"Love, Passion, Faith and Death",3,True
FREN 303,Texts and Contexts,3,True
FREN 305,French Conversation and Composition,3,True
FREN 306,Practical Oral/Written Expression,3,True
FREN 307,Practical Oral Expression,3,True
FREN 308,Contemporary France,3,True
FREN 309,Practical Written Expression,3,True
FREN 314,French Phonetics,3,True
FREN 325,French Civilization I,3,True
FREN 326,French Civilization II,3,True
FREN 350,Advanced Business French,3,True
FREN 355,Special Topics:,3,True
FREN 376,Introduction to French Culture and Society,3,True
FREN 404,Advanced Composition and Grammar,3,True
FREN 405,Translation and Stylistics,3,True
FREN 406,Advanced French Language,3,True
FREN 407,Advanced Oral French,3,True
FREN 409,Advanced Written French,3,True
FREN 411,Great Authors I: 1100-1750,3,True
FREN 412,Great Authors II: 1750-Present,3,True
FREN 423,French Medieval Literature,3,True
FREN 424,French Renaissance Literature,3,True
FREN 437,Seventeenth Century French Theatre,3,True
FREN 438,Seventeenth Century French Poetry and Prose,3,True
FREN 441,The Eighteenth Century: The Age of Voltaire,3,True
FREN 442,The Eighteenth Century: The Age of Rousseau,3,True
FREN 445,Nineteenth Century French Novel,3,True
FREN 446,Nineteenth Century French Poetry and Theatre,3,True
FREN 451,Twentieth Century French Literature: The Age of Anxiety and the Absurd,3,True
FREN 452,Aspects of Contemporary French Literature,3,True
FREN 453,Contemporary French Civilization: 1958-Present,3,True
FREN 454,French Cinema,3,True
FREN 455,"Selected Authors, Works and Themes",3,True
FREN 456,French Theater Workshop,3,True
FREN 457,The Francophone World,3,True
FREN 458,Francophone African Cinema,3,True
FREN 459,"Negritude, Antillanite, Creolite",3,True
FREN 460,Littérature Francophone Issue de l’Immigration,3,True
FREN 476,Topics in French Culture and Society,3,True
GEOG 422,"Resources, Development and the Environment",3,True
GREK 101,Ancient and Biblical Greek I,3,False
GREK 102,Ancient and Biblical Greek II,3,False
GREK 201,Ancient Prose: Intermediate Greek,3,False
GREK 202,Ancient Poetry: Intermediate Greek,3,True
GREK 366,Independent Study,1-3,True
GREK 466,Independent Study,1-3,True
GRMN 103,Introductory German for Engineers,4,False
GRMN 104,Introductory German for Engineers II,4,False
GRMN 105,German I - Elementary,3-4,False
GRMN 106,German II - Elementary/Intermediate,3-4,False
GRMN 107,German III - Intermediate,3-4,True
GRMN 200,German Grammar Review,3,True
GRMN 205,German Conversation,3,True
GRMN 206,Culture Through Conversation,3,True
GRMN 235,German Popular Culture,3,True
GRMN 306,Practical Oral/Written Expression,3,True
GRMN 307,Contemporary Austria,3,True
GRMN 311,Introduction to Modern German Literature,3,True
GRMN 325,German Civilization and Culture,3,True
GRMN 326,The 20th Century in Film,3,True
GRMN 355,Special Topics,3,True
GRMN 406,Advanced German Language,3,True
GRMN 422,Age of Goethe,3,True
GRMN 433,Nineteenth-Century German Literature,3,True
GRMN 442,From Naturalism to Expressionism,3,True
GRMN 453,German Literature: 1945 to 1989,3,True
GRMN 455,"Selected Authors, Works and Themes",3,True
GRMN 465,Postwall Germany: Literature and Culture,3,True
