course code,course name,credits
AFRA 110,Introduction to African American Studies,3
AFRA 193,Special Topics: Reclaiming Afro-Latinx Intersections,1-3
AFRA 208,Wages of Whiteness,3
AFRA 210,Ancient African Civilization: KMT,3
AFRA 220,The Civil Rights Movement,3-4
AFRA 304,African American History to the Civil War,3
AFRA 306,African American History Since the Civil War,3
AFRA 310,"Pan Africanism in Practice: Activism, Alliances and Change in Africa and its Diaspora",3
AFRA 320,History and Significance of Race in America,3
AFRA 329,Black Women’s History to 1865,3
AFRA 334,Black Women’s History Since 1865,3
AFRA 363,History of African Americans in the American West,3
AFRA 364,The African Diaspora in Indian Country,3
AFRA 369,Slave Narratives in the African Diaspora,3
AFRA 371,"African American Music: History and Culture, 1800-1995",3
AFRA 393,"Special Topics: Readings in Black Text, Anti-Text, and Juxta-Text",1-3
AFRA 398,African American Religious History,3
AFRA 421,Black Women in the Black Freedom Struggle,3
AFRA 434,Interventions in Black Gender History,3
AFRA 440,Themes in African American Studies,3-9
AFRA 445,Black Bodies on Display: Race in Museums,3
AFRA 446,On the Run: Slavery and Fugitivity in Delaware,3
AFRA 462,Maroons and Marronage in the Atlantic World,3
AFRA 484,Religion and Social Justice,3
ANTH 101,Introduction to Cultural Anthropology,3
ANTH 105,Archaeology of Modern World,3
ANTH 209,Peoples and Cultures of Contemporary South Asia,3
ANTH 210,Peoples and Cultures of Contemporary Southeast Asia,3
ANTH 211,Peoples and Cultures of Contemporary East Asia,3
ANTH 212,Anthropology of Islam,3
ANTH 225,Global South Studies,3
ANTH 228,Native Peoples of the Southwest,3
ANTH 233,Anthropology of Politics and Power,3
ANTH 265,"Aztec, Inca, and Maya Archaeology",3
ANTH 269,"Archaeology of Africa, Europe, and Asia",3
ANTH 275,Archaeology of Delaware Native Americans,3
ANTH 312,Asian Women in the Global Economy,3
ANTH 323,Prehistory of South America,3
ANTH 213,Peoples and Cultures of Contemporary Europe,3
ANTH 326,African Diaspora and the World,3
ANTH 330,Development and Underdevelopment,3
ANTH 333,Peoples and Cultures of Contemporary Africa,3
ANTH 334,Culture and Society of Contemporary Argentina,3
ANTH 342,Issues in American Culture: Archaeological Perspectives,3
ANTH 351,Race and Ethnicity in Latin America,3
ANTH 360,"American Anabaptists: Amish, Mennonite and Brethren Cultures",3
ANTH 372,Colonialism and Culture,3
ANTH 375,Peoples and Cultures of Contemporary Latin America,4
ANTH 383,Globalization on the Ground: Cultural Diversity and Contemporary Life,3
ANTH 385,Contemporary American Cinema,4
ANTH 386,Contemporary Queer Cinema,4
ARTH 156,Rome: From Caesar to Fellini,3
ARTH 158,Rulers’ Images: Antiquity to the Present,3
ARTH 163,Architecture in Global Contexts,3
ARTH 164,World Architecture,3
ARTH 175,Hipsters in Headdresses: Native American Art in Popular Culture,3
ARTH 204,Architecture and Power in Africa,3
ARTH 206,Introduction to Art and Architecture in Africa,3
ARTH 207,Art of Ancient Egypt and the Near East,3
ARTH 208,Greek and Roman Art,3
ARTH 209,Early Medieval Art: 200-1000 AD,3
ARTH 210,Later Medieval Art: 1000-1400 AD,3
ARTH 217,Renaissance Art in a Global Perspective: The 1400s,3
ARTH 218,Renaissance Art in a Global Perspective: The 1500s,3
ARTH 222,Baroque Art,3
ARTH 225,Art and Enlightenment,3
ARTH 227,Modern Art: The 19th Century,3
ARTH 228,Modern Art Since 1900,3
ARTH 230,American Art to 1900,3
ARTH 231,Twentieth-Century American Art,3
ARTH 232,Art of Latin America,3
ARTH 233,Art and Architecture in China,3
ARTH 236,Arts of the Islamic World,3
ARTH 238,Islamic Arch of Africa:Cairo to Timbuktu,3
ARTH 239,Art and Architecture of Europe,3-12
ARTH 242,Woman As Image and Imagemaker,3
ARTH 244,American Architecture,3
ARTH 246,No Reservations: Native North American Art,3
ARTH 298,Global Modernism,3
ARTH 299,Modern Architecture,3
ARTH 303,"Art of the Iberian World, 1400-1800",3
ARTH 304,"Northern Baroque Art: The Age of Rubens, Rembrandt and Vermeer",3
ARTH 305,Italian Baroque Art: Metaphor and Marvel,3
ARTH 310,The Role of the Artist in Society,3
ARTH 311,"Women, Society and the Arts",3
ARTH 314,Seminar: Shops and Shopping,3
ARTH 318,Photography and Evidence,3
ARTH 320,Photography since the 1970s: The Image World,3
ARTH 335,Ancient Egypt and Nubia,3
ARTH 380,Art and Environmental Justice,3
ARTH 399,Topics in Art History,3
ASIA 136,Topics in East Asia in Film,1-3
HBNS 351,The Modern Olympic Games,3
CHEM 410,History of Chemistry,3
CHEM 412,Chemistry in the Media,3
DIST 250,Disability Studies: A Multidisciplinary Introduction,3
CMLT 207,Great Writers of the Western World I: 1100-1700,3
CMLT 208,Great Writers of the Western World II: 1650-1950,3
CRJU 312,History of Crime and Criminal Justice,3
CRJU 324,American Constitutional History,3
CRJU 351,Comparative Criminal Justice Systems,3
CRJU 352,International Criminal Justice,3
DANC 209,Dance in Film,3
ECON 315,Economic History of Colonial America,3
ECON 316,Economic History of the United States,3
EDUC 247,The History of Education in America,3
ENGL 204,American Literature,3
ENGL 205,British Literature to 1660,3
ENGL 206,British Literature 1660 to Present,3
ENGL 214,Literature and Gender,3
ENGL 215,"Global Studies in Race, Culture, and Power",3
ENGL 216,African American Literature Survey,3
ENGL 223,Stories that Change the World,3
ENGL 278,Studies in Diversity,3
ENGL 283,American Literature for Non-majors,3
ENGL 317,Film History,3
ENGL 321,Medieval Literature and Culture,3
ENGL 325,Renaissance Literature,3
ENGL 334,Studies in Environmental Humanities,3
ENGL 340,American Literature to the Civil War,3
ENGL 341,American Literature: Civil War to World War II,3
ENGL 342,American Literature Since World War II,3
ENGL 344,African American Literature I,3
ENGL 345,African American Literature II,3
