course code,course name,credits
AFRA 205,Contemporary African American Issues,3
AFRA 217,The Problem of the Color-Line,3
AFRA 223,"Sports, Media, and Culture",3
AFRA 225,Black Male Experience,3
AFRA 251,"Addressing Inequity (Social, Political, Economic, Educational)",3
AFRA 321,Black Women and Popular Culture,3
AFRA 350,Race and Work in the United States,3
AFRA 373,Sociology of Gangster Rap Music and Culture,3
AFRA 381,Understanding Black Men in the Streets and in Prison,3
ANFS 100,Animals and Human Culture,3
ANTH 103,Introduction to Archaeology,3
ANTH 218,Solving Archaeological Mysteries,3
ANTH 222,Technology and Society,3
ANTH 223,"Food, Gender, and Culture",3
ANTH 229,Native North Americans,3
ANTH 230,Cultural Diversity in the Contemporary World,3
ANTH 232,Global Youth Cultures,3
ANTH 234,Environmental Anthropology,3
ANTH 235,Food and Culture,3
ANTH 236,Sports and Society,3
ANTH 245,Contemporary Native American Culture Issues,3
ANTH 255,Public Advocacy in Anthropology,3
ANTH 302,Medical Anthropology,3
ANTH 303,Culture and Global Health,3
ANTH 304,"Culture, Health, and Environment",3
ANTH 311,Anthropology of Tourism and Travel,3
ANTH 316,Islam and Gender,3
ANTH 318,Tribal Lifeways,3
ANTH 320,Native North American Archaeology,3
ANTH 321,Environmental Archaeology,3
ANTH 324,Old World Archaeology,3
ANTH 329,Archaeology of Agriculture,3
ANTH 331,Culture and Global Climate Change,3
ANTH 332,Global Environmental Sustainability,3
ANTH 337,Indigenous Peoples of Latin America,3
ANTH 341,Archaeological Research,4
ANTH 352,Refugees and Forced Migration,3
ANTH 355,"Culture, Law, and Human Rights",3
ANTH 356,Anthropology of Childhood,3
ANTH 357,Climate Refugees and Environmental Displacement,3
ANTH 370,Global Food Problems,3
ANTH 379,Archaeology and Colonialism in North America,3
ANTH 382,Capitalism and Culture,3
ANTH 391,"Paleo Punk: Evolution and Archaeology of Sex, Drugs, and Rock n Roll",3
ANTH 401,The Idea of Race,3
ANTH 426,Decolonizing Knowledge through World Anthropologies,3
ANTH 463,"Archaeology, Engagement, Heritage",3
APEC 100,Sustainable Development,3
