course code,course name,credits,upper level
ACCT 352,Law and Social Issues in Business,3,True
AFSC 310,Leadership Studies I,3,True
AFSC 311,Leadership Studies II,3,True
BUAD 100,Introduction to Business,3,False
BUAD 306,Introduction to Service and Operations Management,3,True
BUAD 429,Selected Topics in Management,3,True
CHEG 410,Acceptance and Resistance to Innovation,3,True
ENGL 392,Teaching Writing One-to-One,3,True
EDUC 413,Adolescent Development and Educational Psychology,4,True
EDUC 414,Teaching Exceptional Adolescents,3,True
EDUC 419,Diversity in Secondary Education,3,True
EDUC 420,Reading in the Content Areas,1-3,True
SCEN 491,Teaching Science in Secondary Schools,4,True
ENEP 117,"Science, Society and Energy",1,False
ENEP 402,Electricity Policy and Planning,3,True
ENEP 470,Readings in Energy and Environment,3,True
ENTR 150,Business Basics for Entrepreneurs,4,False
ENTR 155,Start Up of the Professional You,1,False
ENTR 156,From Ideas to Action,1,False
ENTR 157,Venturing for Good,1,False
ENTR 351,Entrepreneurial Marketing,3,True
ENTR 353,ENTR Apprentice: Leadership & Influence,3,True
ENTR 364,Entrepreneurship in Practice: Internship,3,True
ENTR 420,Social Entrepreneurship,3,True
ENTR 450,Business Accelerator for New Ventures,1-6,True
ENTR 451,Special Topics in Entrepreneurship,3,True
ENTR 455,Startup Experience I,3,True
ENTR 456,Startup Experience II,3,True
ENTR 457,Legal Issues for Entrepreneurs,3,True
ENTR 458,Developing New Technology-Based Products,3,True
FINC 459,Startup Finance & Raising Capital for Entrepreneurs,3,True
ENTR 460,High Technology Entrepreneurship,3,True
ENTR 464,Social Entrepreneurship Practicum,3,True
FINC 200,Fundamentals of Finance,3,False
LEAD 110,Perspectives on Leadership,1,False
LEAD 340,Leadership Internship,3-6,True
LEAD 341,Decision-Making and Leadership,3,True
LEAD 400,Leadership for the Common Good,3,True
LEAD 404,Leadership in Organizations,3,True
LEAD 411,Topics in Leadership Dynamics,1-6,True
MLSC 406,Advanced Leadership II,3,True
UAPP 325,Public Policy Analysis,3,True
UAPP 406,Plan Sustainable Communities & Regions,3,True
UAPP 411,Regional Watershed Management,3,True
UAPP 421,Contemporary Issues in a Global Society,3,True
